combo,ips_pass,ips_objective,return_pa,vol_pa,max_dd,sharpe,threshold,taa_band,regime_view_scale,status,n_signals_fired
h1/xgb_lstm,3,18.313982131125584,0.095193634186625,0.0911366175298666,-0.1871968379680142,0.824176593760402,0.5,0.5,2.0,keep,61
h1/xgb_lstm,3,18.697694800727465,0.0948751053191701,0.0913150637205376,-0.1905369896059071,0.8195691582559712,0.5,0.5,2.0,discard,61
h1/xgb_lstm,3,18.70505693172754,0.0921907634073835,0.0917105779922259,-0.1875307547324329,0.7896469419702135,0.55,0.5,2.0,discard,53
h1/xgb_lstm,3,19.002227361072837,0.0923836642100148,0.0918689482148365,-0.1905369896059067,0.7903770251664441,0.55,0.5,2.0,discard,53
h1/xgb_lstm,3,19.42167883835598,0.0947237880989495,0.0924744672337559,-0.1964661092487534,0.8089627465431952,0.5,0.5,1.5,keep,61
h1/xgb_lstm,3,19.643127228742152,0.0928546679217965,0.0928198309604642,-0.1964661092487538,0.7878829600734425,0.55,0.5,1.5,discard,53
h1/xgb_lstm,3,19.730653133374894,0.0973182446669387,0.0929237556805398,-0.2017010203201478,0.8309926279788782,0.5,0.5,1.5,discard,61
h1/xgb_lstm,3,19.94712931647525,0.0955270995120818,0.0932973723566868,-0.2017010203201475,0.8105239227083116,0.55,0.5,1.5,discard,53
h1/xgb_lstm,3,20.85238176439378,0.0950664309015483,0.0943234688543691,-0.2092667796911169,0.7982786377725911,0.5,0.5,1.0,keep,61
h1/xgb_lstm,3,21.054343178858744,0.0933061296038011,0.0945827817012719,-0.2092667796911166,0.7793358204442491,0.55,0.5,1.0,discard,53
h1/xgb_lstm,3,21.31231482529613,0.095697612828852,0.095130498810977,-0.2136902622708363,0.7983834206595498,0.5,0.5,1.0,discard,61
h1/xgb_lstm,3,21.472175476178123,0.0942640459271497,0.0952955384180936,-0.2136902622708373,0.7834228349362093,0.55,0.5,1.0,discard,53
h1/xgb_lstm,2,1026.600067047345,0.0978814654444883,0.1005064672170715,-0.2566878343504328,0.781065217416464,0.5,0.5,0.5,keep,61
h1/xgb_lstm,2,1026.6813571517596,0.0968188661369624,0.1002567689536911,-0.2566878343504329,0.7730949901001943,0.55,0.5,0.5,discard,53
h1/xgb_lstm,2,1026.815392807928,0.0950475470902934,0.0998012912429722,-0.2567000919633003,0.7600104999418321,0.5,0.75,0.5,discard,61
h1/xgb_lstm,2,1026.815392807928,0.0950475470902934,0.0998012912429722,-0.2567000919633003,0.7600104999418321,0.5,1.0,0.5,discard,61
h1/xgb_lstm,2,1026.815392807928,0.0950475470902934,0.0998012912429722,-0.2567000919633003,0.7600104999418321,0.5,0.5,0.5,keep,61
h1/xgb_lstm,2,1026.8627328769612,0.0943618978960745,0.0995890427390851,-0.2567000919633003,0.755122952800468,0.55,0.75,0.5,discard,53
h1/xgb_lstm,2,1026.8627328769612,0.0943618978960745,0.0995890427390851,-0.2567000919633003,0.755122952800468,0.55,0.5,0.5,discard,53
h1/xgb_lstm,2,1026.8627328769612,0.0943618978960745,0.0995890427390851,-0.2567000919633003,0.755122952800468,0.55,0.5,0.5,keep,53
h1/xgb_lstm,2,1026.8627328769612,0.0943618978960745,0.0995890427390851,-0.2567000919633003,0.755122952800468,0.55,1.0,0.5,discard,53
h1/xgb_lstm,2,1027.4839013494434,0.0700180831768302,0.0955412562417008,-0.2393339236063929,0.5472587843212233,0.55,0.5,0.5,discard,53
h1/xgb_transformer,2,1027.5790036525088,0.08991586060536,0.1009535480060193,-0.2573761745622148,0.7061191309286114,0.55,0.5,0.5,keep,53
h1/xgb_lstm,2,1027.6284204381527,0.0691051705818288,0.0951606219387918,-0.2393339236063926,0.5400931546534535,0.5,0.5,0.5,discard,61
h1/xgb_transformer,2,1029.0069871265875,0.0931787887469044,0.1003209490237657,-0.2664638554945074,0.7395896705893549,0.5,0.5,0.5,keep,61
h1/xgb_transformer,2,1029.13581366661,0.0918970829136118,0.1003275085906983,-0.2664638554945071,0.7278474685262741,0.55,0.5,0.5,discard,53
h1/xgb_lstm,2,1032.1191080228025,0.0934540222641366,0.1015509887970123,-0.2815470568475734,0.7343786076257478,0.45,0.5,0.5,keep,73
h1/xgb_lstm,2,1032.1191080228025,0.0934540222641366,0.1015509887970123,-0.2815470568475734,0.7343786076257478,0.45,0.75,0.5,discard,73
h1/xgb_lstm,2,1032.1191080228025,0.0934540222641366,0.1015509887970123,-0.2815470568475734,0.7343786076257478,0.45,1.0,0.5,discard,73
h1/xgb_lstm,2,1035.5282883810794,0.0917197763569428,0.103643069726171,-0.2966797952207826,0.7068098135067765,0.6,0.5,0.5,discard,45
h1/xgb_lstm,2,1035.5282883810794,0.0917197763569428,0.103643069726171,-0.2966797952207826,0.7068098135067765,0.6,0.75,0.5,discard,45
h1/xgb_lstm,2,1035.5282883810794,0.0917197763569428,0.103643069726171,-0.2966797952207826,0.7068098135067765,0.6,1.0,0.5,discard,45
h3/xgb_transformer,2,1037.301395918652,0.0883223818913836,0.102607279510037,-0.3043645307839323,0.6825302081221654,0.55,0.5,0.5,keep,49
h4/xgb_transformer,2,1037.354846656371,0.0898571699635881,0.102406448540737,-0.3054995939932796,0.6974465372988498,0.55,0.5,0.5,keep,11
h4/xgb_lstm,2,1037.5356617740845,0.0882613942785226,0.102618824032808,-0.3054995939932796,0.681925609729872,0.55,0.5,0.5,keep,11
h2/xgb_transformer,2,1038.2901261551956,0.0897584379520559,0.1116605115174535,-0.3054995939932795,0.6477621125801355,0.55,0.5,0.5,keep,47
h2/xgb_lstm,2,1038.783476668668,0.0938797041088517,0.1128305107629493,-0.3094419800162913,0.6756746633818635,0.55,0.5,0.5,keep,47
h3/xgb_lstm,2,1038.9719680557616,0.0828878155657451,0.101484612421273,-0.3105614418510444,0.639603986502665,0.55,0.5,0.5,keep,49
h1/xgb_lstm,1,2030.6167280374643,0.0677892911642801,0.0964470301643846,-0.2576494162694095,0.5215733353050933,0.55,0.5,0.5,keep,53
h1/xgb_lstm,1,2030.8583660708791,0.0663964376476615,0.0960777034652966,-0.2576494162694089,0.509618063762581,0.5,0.5,0.5,keep,61
h1/xgb_transformer,1,2032.1919285813128,0.0659325830390957,0.0967651181494692,-0.2635096668709262,0.502203617241841,0.55,0.5,0.5,discard,53
h1/xgb_transformer,1,2032.297536106008,0.0651258642488663,0.0962077558159572,-0.2635096668709261,0.4966807951199797,0.5,0.5,0.5,discard,61
h1/xgb_transformer,1,2038.1307390493937,0.0639417991278641,0.1003902173996885,-0.2894003856749891,0.4695155552209545,0.55,0.5,0.5,keep,53
h1/xgb_transformer,1,2038.3199135423577,0.0627216235374605,0.0998416111485206,-0.2894003856749897,0.4600486950777181,0.5,0.5,0.5,keep,61
