Security,Conference Board CONCCONF
Start Date,2000-01-31 00:00:00
End Date,2026-03-31 00:00:00
Period,M
,
Date,PX_LAST
2000-01-31 00:00:00,144.7
2000-02-29 00:00:00,140.8
2000-03-31 00:00:00,137.1
2000-04-30 00:00:00,137.7
2000-05-31 00:00:00,144.7
2000-06-30 00:00:00,139.2
2000-07-31 00:00:00,143.0
2000-08-31 00:00:00,140.8
2000-09-30 00:00:00,142.5
2000-10-31 00:00:00,135.8
2000-11-30 00:00:00,132.6
2000-12-31 00:00:00,128.6
2001-01-31 00:00:00,115.7
2001-02-28 00:00:00,109.2
2001-03-31 00:00:00,116.9
2001-04-30 00:00:00,109.9
2001-05-31 00:00:00,116.1
2001-06-30 00:00:00,118.9
2001-07-31 00:00:00,116.3
2001-08-31 00:00:00,114.0
2001-09-30 00:00:00,97.0
2001-10-31 00:00:00,85.3
2001-11-30 00:00:00,84.9
2001-12-31 00:00:00,94.6
2002-01-31 00:00:00,97.8
2002-02-28 00:00:00,95.0
2002-03-31 00:00:00,110.7
2002-04-30 00:00:00,108.5
2002-05-31 00:00:00,110.3
2002-06-30 00:00:00,106.3
2002-07-31 00:00:00,97.4
2002-08-31 00:00:00,94.5
2002-09-30 00:00:00,93.7
2002-10-31 00:00:00,79.6
2002-11-30 00:00:00,84.9
2002-12-31 00:00:00,80.7
2003-01-31 00:00:00,78.8
2003-02-28 00:00:00,64.8
2003-03-31 00:00:00,61.4
2003-04-30 00:00:00,81.0
2003-05-31 00:00:00,83.6
2003-06-30 00:00:00,83.5
2003-07-31 00:00:00,77.0
2003-08-31 00:00:00,81.7
2003-09-30 00:00:00,77.0
2003-10-31 00:00:00,81.7
2003-11-30 00:00:00,92.5
2003-12-31 00:00:00,94.8
2004-01-31 00:00:00,97.7
2004-02-29 00:00:00,88.5
2004-03-31 00:00:00,88.5
2004-04-30 00:00:00,93.0
2004-05-31 00:00:00,93.1
2004-06-30 00:00:00,102.8
2004-07-31 00:00:00,105.7
2004-08-31 00:00:00,98.7
2004-09-30 00:00:00,96.7
2004-10-31 00:00:00,92.9
2004-11-30 00:00:00,92.6
2004-12-31 00:00:00,102.7
2005-01-31 00:00:00,105.1
2005-02-28 00:00:00,104.4
2005-03-31 00:00:00,103.0
2005-04-30 00:00:00,97.5
2005-05-31 00:00:00,103.1
2005-06-30 00:00:00,106.2
2005-07-31 00:00:00,103.6
2005-08-31 00:00:00,105.5
2005-09-30 00:00:00,87.5
2005-10-31 00:00:00,85.2
2005-11-30 00:00:00,98.3
2005-12-31 00:00:00,103.8
2006-01-31 00:00:00,106.8
2006-02-28 00:00:00,102.7
2006-03-31 00:00:00,107.5
2006-04-30 00:00:00,109.8
2006-05-31 00:00:00,104.7
2006-06-30 00:00:00,105.4
2006-07-31 00:00:00,107.0
2006-08-31 00:00:00,100.2
2006-09-30 00:00:00,105.9
2006-10-31 00:00:00,105.1
2006-11-30 00:00:00,105.3
2006-12-31 00:00:00,110.0
2007-01-31 00:00:00,110.2
2007-02-28 00:00:00,111.2
2007-03-31 00:00:00,108.2
2007-04-30 00:00:00,106.3
2007-05-31 00:00:00,108.5
2007-06-30 00:00:00,105.3
2007-07-31 00:00:00,111.9
2007-08-31 00:00:00,105.6
2007-09-30 00:00:00,99.5
2007-10-31 00:00:00,95.2
2007-11-30 00:00:00,87.8
2007-12-31 00:00:00,90.6
2008-01-31 00:00:00,87.3
2008-02-29 00:00:00,76.4
2008-03-31 00:00:00,65.9
2008-04-30 00:00:00,62.8
2008-05-31 00:00:00,58.1
2008-06-30 00:00:00,51.0
2008-07-31 00:00:00,51.9
2008-08-31 00:00:00,58.5
2008-09-30 00:00:00,61.4
2008-10-31 00:00:00,38.8
2008-11-30 00:00:00,44.7
2008-12-31 00:00:00,38.6
2009-01-31 00:00:00,37.4
2009-02-28 00:00:00,25.3
2009-03-31 00:00:00,26.9
2009-04-30 00:00:00,40.8
2009-05-31 00:00:00,54.8
2009-06-30 00:00:00,49.3
2009-07-31 00:00:00,47.4
2009-08-31 00:00:00,54.5
2009-09-30 00:00:00,53.4
2009-10-31 00:00:00,48.7
2009-11-30 00:00:00,50.6
2009-12-31 00:00:00,53.6
2010-01-31 00:00:00,56.5
2010-02-28 00:00:00,46.4
2010-03-31 00:00:00,52.3
2010-04-30 00:00:00,57.7
2010-05-31 00:00:00,62.7
2010-06-30 00:00:00,54.3
2010-07-31 00:00:00,51.0
2010-08-31 00:00:00,53.2
2010-09-30 00:00:00,48.6
2010-10-31 00:00:00,49.9
2010-11-30 00:00:00,57.8
2010-12-31 00:00:00,63.4
2011-01-31 00:00:00,64.8
2011-02-28 00:00:00,72.0
2011-03-31 00:00:00,63.8
2011-04-30 00:00:00,66.0
2011-05-31 00:00:00,61.7
2011-06-30 00:00:00,57.6
2011-07-31 00:00:00,59.2
2011-08-31 00:00:00,45.2
2011-09-30 00:00:00,46.4
2011-10-31 00:00:00,40.9
2011-11-30 00:00:00,55.2
2011-12-31 00:00:00,64.8
2012-01-31 00:00:00,61.5
2012-02-29 00:00:00,71.6
2012-03-31 00:00:00,69.5
2012-04-30 00:00:00,68.7
2012-05-31 00:00:00,64.4
2012-06-30 00:00:00,62.7
2012-07-31 00:00:00,65.4
2012-08-31 00:00:00,61.3
2012-09-30 00:00:00,68.4
2012-10-31 00:00:00,73.1
2012-11-30 00:00:00,71.5
2012-12-31 00:00:00,66.7
2013-01-31 00:00:00,58.4
2013-02-28 00:00:00,68.0
2013-03-31 00:00:00,61.9
2013-04-30 00:00:00,69.0
2013-05-31 00:00:00,74.3
2013-06-30 00:00:00,82.1
2013-07-31 00:00:00,81.0
2013-08-31 00:00:00,81.8
2013-09-30 00:00:00,80.2
2013-10-31 00:00:00,72.4
2013-11-30 00:00:00,72.0
2013-12-31 00:00:00,77.5
2014-01-31 00:00:00,79.4
2014-02-28 00:00:00,78.3
2014-03-31 00:00:00,83.9
2014-04-30 00:00:00,81.7
2014-05-31 00:00:00,82.2
2014-06-30 00:00:00,86.4
2014-07-31 00:00:00,90.3
2014-08-31 00:00:00,93.4
2014-09-30 00:00:00,89.0
2014-10-31 00:00:00,94.1
2014-11-30 00:00:00,91.0
2014-12-31 00:00:00,93.1
2015-01-31 00:00:00,103.8
2015-02-28 00:00:00,98.8
2015-03-31 00:00:00,101.4
2015-04-30 00:00:00,94.3
2015-05-31 00:00:00,94.6
2015-06-30 00:00:00,99.8
2015-07-31 00:00:00,91.0
2015-08-31 00:00:00,101.3
2015-09-30 00:00:00,102.6
2015-10-31 00:00:00,99.1
2015-11-30 00:00:00,92.6
2015-12-31 00:00:00,96.3
2016-01-31 00:00:00,97.8
2016-02-29 00:00:00,94.0
2016-03-31 00:00:00,96.1
2016-04-30 00:00:00,94.7
2016-05-31 00:00:00,92.4
2016-06-30 00:00:00,97.4
2016-07-31 00:00:00,96.7
2016-08-31 00:00:00,101.8
2016-09-30 00:00:00,103.5
2016-10-31 00:00:00,100.8
2016-11-30 00:00:00,109.4
2016-12-31 00:00:00,113.3
2017-01-31 00:00:00,111.6
2017-02-28 00:00:00,116.1
2017-03-31 00:00:00,124.9
2017-04-30 00:00:00,119.4
2017-05-31 00:00:00,117.6
2017-06-30 00:00:00,117.3
2017-07-31 00:00:00,120.0
2017-08-31 00:00:00,120.4
2017-09-30 00:00:00,120.6
2017-10-31 00:00:00,126.2
2017-11-30 00:00:00,128.6
2017-12-31 00:00:00,123.1
2018-01-31 00:00:00,124.3
2018-02-28 00:00:00,130.0
2018-03-31 00:00:00,127.0
2018-04-30 00:00:00,125.6
2018-05-31 00:00:00,128.8
2018-06-30 00:00:00,127.1
2018-07-31 00:00:00,127.9
2018-08-31 00:00:00,134.7
2018-09-30 00:00:00,135.3
2018-10-31 00:00:00,137.9
2018-11-30 00:00:00,136.4
2018-12-31 00:00:00,126.6
2019-01-31 00:00:00,121.7
2019-02-28 00:00:00,131.4
2019-03-31 00:00:00,124.2
2019-04-30 00:00:00,129.2
2019-05-31 00:00:00,131.3
2019-06-30 00:00:00,124.3
2019-07-31 00:00:00,135.8
2019-08-31 00:00:00,134.2
2019-09-30 00:00:00,126.3
2019-10-31 00:00:00,126.1
2019-11-30 00:00:00,126.8
2019-12-31 00:00:00,128.2
2020-01-31 00:00:00,130.4
2020-02-29 00:00:00,132.6
2020-03-31 00:00:00,118.8
2020-04-30 00:00:00,85.7
2020-05-31 00:00:00,85.9
2020-06-30 00:00:00,98.3
2020-07-31 00:00:00,91.7
2020-08-31 00:00:00,86.3
2020-09-30 00:00:00,101.3
2020-10-31 00:00:00,101.4
2020-11-30 00:00:00,92.9
2020-12-31 00:00:00,87.1
2021-01-31 00:00:00,87.1
2021-02-28 00:00:00,95.2
2021-03-31 00:00:00,114.9
2021-04-30 00:00:00,117.5
2021-05-31 00:00:00,120.0
2021-06-30 00:00:00,128.9
2021-07-31 00:00:00,125.1
2021-08-31 00:00:00,115.2
2021-09-30 00:00:00,109.8
2021-10-31 00:00:00,111.6
2021-11-30 00:00:00,111.9
2021-12-31 00:00:00,115.2
2022-01-31 00:00:00,111.1
2022-02-28 00:00:00,105.7
2022-03-31 00:00:00,107.6
2022-04-30 00:00:00,108.6
2022-05-31 00:00:00,103.2
2022-06-30 00:00:00,98.4
2022-07-31 00:00:00,95.3
2022-08-31 00:00:00,103.6
2022-09-30 00:00:00,107.8
2022-10-31 00:00:00,102.2
2022-11-30 00:00:00,101.4
2022-12-31 00:00:00,109.0
2023-01-31 00:00:00,106.0
2023-02-28 00:00:00,103.4
2023-03-31 00:00:00,104.0
2023-04-30 00:00:00,103.7
2023-05-31 00:00:00,102.5
2023-06-30 00:00:00,110.1
2023-07-31 00:00:00,114.0
2023-08-31 00:00:00,108.7
2023-09-30 00:00:00,104.3
2023-10-31 00:00:00,99.1
2023-11-30 00:00:00,101.0
2023-12-31 00:00:00,108.0
2024-01-31 00:00:00,110.9
2024-02-29 00:00:00,104.8
2024-03-31 00:00:00,103.1
2024-04-30 00:00:00,97.5
2024-05-31 00:00:00,101.3
2024-06-30 00:00:00,97.8
2024-07-31 00:00:00,101.9
2024-08-31 00:00:00,105.6
2024-09-30 00:00:00,99.2
2024-10-31 00:00:00,109.6
2024-11-30 00:00:00,112.8
2024-12-31 00:00:00,109.5
2025-01-31 00:00:00,105.3
2025-02-28 00:00:00,100.1
2025-03-31 00:00:00,93.9
2025-04-30 00:00:00,85.7
2025-05-31 00:00:00,98.4
2025-06-30 00:00:00,95.2
2025-07-31 00:00:00,98.7
2025-08-31 00:00:00,97.8
2025-09-30 00:00:00,95.6
2025-10-31 00:00:00,95.5
2025-11-30 00:00:00,92.9
2025-12-31 00:00:00,94.2
2026-01-31 00:00:00,89.0
2026-02-28 00:00:00,91.0
2026-03-31 00:00:00,91.8
