Security,Umich CONNSENT
Start Date,2000-01-31 00:00:00
End Date,2026-04-30 00:00:00
Period,M
,
Date,PX_LAST
2000-01-31 00:00:00,112.0
2000-02-29 00:00:00,111.3
2000-03-31 00:00:00,107.1
2000-04-30 00:00:00,109.2
2000-05-31 00:00:00,110.7
2000-06-30 00:00:00,106.4
2000-07-31 00:00:00,108.3
2000-08-31 00:00:00,107.3
2000-09-30 00:00:00,106.8
2000-10-31 00:00:00,105.8
2000-11-30 00:00:00,107.6
2000-12-31 00:00:00,98.4
2001-01-31 00:00:00,94.7
2001-02-28 00:00:00,90.6
2001-03-31 00:00:00,91.5
2001-04-30 00:00:00,88.4
2001-05-31 00:00:00,92.0
2001-06-30 00:00:00,92.6
2001-07-31 00:00:00,92.4
2001-08-31 00:00:00,91.5
2001-09-30 00:00:00,81.8
2001-10-31 00:00:00,82.7
2001-11-30 00:00:00,83.9
2001-12-31 00:00:00,88.8
2002-01-31 00:00:00,93.0
2002-02-28 00:00:00,90.7
2002-03-31 00:00:00,95.7
2002-04-30 00:00:00,93.0
2002-05-31 00:00:00,96.9
2002-06-30 00:00:00,92.4
2002-07-31 00:00:00,88.1
2002-08-31 00:00:00,87.6
2002-09-30 00:00:00,86.1
2002-10-31 00:00:00,80.6
2002-11-30 00:00:00,84.2
2002-12-31 00:00:00,86.7
2003-01-31 00:00:00,82.4
2003-02-28 00:00:00,79.9
2003-03-31 00:00:00,77.6
2003-04-30 00:00:00,86.0
2003-05-31 00:00:00,92.1
2003-06-30 00:00:00,89.7
2003-07-31 00:00:00,90.9
2003-08-31 00:00:00,89.3
2003-09-30 00:00:00,87.7
2003-10-31 00:00:00,89.6
2003-11-30 00:00:00,93.7
2003-12-31 00:00:00,92.6
2004-01-31 00:00:00,103.8
2004-02-29 00:00:00,94.4
2004-03-31 00:00:00,95.8
2004-04-30 00:00:00,94.2
2004-05-31 00:00:00,90.2
2004-06-30 00:00:00,95.6
2004-07-31 00:00:00,96.7
2004-08-31 00:00:00,95.9
2004-09-30 00:00:00,94.2
2004-10-31 00:00:00,91.7
2004-11-30 00:00:00,92.8
2004-12-31 00:00:00,97.1
2005-01-31 00:00:00,95.5
2005-02-28 00:00:00,94.1
2005-03-31 00:00:00,92.6
2005-04-30 00:00:00,87.7
2005-05-31 00:00:00,86.9
2005-06-30 00:00:00,96.0
2005-07-31 00:00:00,96.5
2005-08-31 00:00:00,89.1
2005-09-30 00:00:00,76.9
2005-10-31 00:00:00,74.2
2005-11-30 00:00:00,81.6
2005-12-31 00:00:00,91.5
2006-01-31 00:00:00,91.2
2006-02-28 00:00:00,86.7
2006-03-31 00:00:00,88.9
2006-04-30 00:00:00,87.4
2006-05-31 00:00:00,79.1
2006-06-30 00:00:00,84.9
2006-07-31 00:00:00,84.7
2006-08-31 00:00:00,82.0
2006-09-30 00:00:00,85.4
2006-10-31 00:00:00,93.6
2006-11-30 00:00:00,92.1
2006-12-31 00:00:00,91.7
2007-01-31 00:00:00,96.9
2007-02-28 00:00:00,91.3
2007-03-31 00:00:00,88.4
2007-04-30 00:00:00,87.1
2007-05-31 00:00:00,88.3
2007-06-30 00:00:00,85.3
2007-07-31 00:00:00,90.4
2007-08-31 00:00:00,83.4
2007-09-30 00:00:00,83.4
2007-10-31 00:00:00,80.9
2007-11-30 00:00:00,76.1
2007-12-31 00:00:00,75.5
2008-01-31 00:00:00,78.4
2008-02-29 00:00:00,70.8
2008-03-31 00:00:00,69.5
2008-04-30 00:00:00,62.6
2008-05-31 00:00:00,59.8
2008-06-30 00:00:00,56.4
2008-07-31 00:00:00,61.2
2008-08-31 00:00:00,63.0
2008-09-30 00:00:00,70.3
2008-10-31 00:00:00,57.6
2008-11-30 00:00:00,55.3
2008-12-31 00:00:00,60.1
2009-01-31 00:00:00,61.2
2009-02-28 00:00:00,56.3
2009-03-31 00:00:00,57.3
2009-04-30 00:00:00,65.1
2009-05-31 00:00:00,68.7
2009-06-30 00:00:00,70.8
2009-07-31 00:00:00,66.0
2009-08-31 00:00:00,65.7
2009-09-30 00:00:00,73.5
2009-10-31 00:00:00,70.6
2009-11-30 00:00:00,67.4
2009-12-31 00:00:00,72.5
2010-01-31 00:00:00,74.4
2010-02-28 00:00:00,73.6
2010-03-31 00:00:00,73.6
2010-04-30 00:00:00,72.2
2010-05-31 00:00:00,73.6
2010-06-30 00:00:00,76.0
2010-07-31 00:00:00,67.8
2010-08-31 00:00:00,68.9
2010-09-30 00:00:00,68.2
2010-10-31 00:00:00,67.7
2010-11-30 00:00:00,71.6
2010-12-31 00:00:00,74.5
2011-01-31 00:00:00,74.2
2011-02-28 00:00:00,77.5
2011-03-31 00:00:00,67.5
2011-04-30 00:00:00,69.8
2011-05-31 00:00:00,74.3
2011-06-30 00:00:00,71.5
2011-07-31 00:00:00,63.7
2011-08-31 00:00:00,55.8
2011-09-30 00:00:00,59.5
2011-10-31 00:00:00,60.8
2011-11-30 00:00:00,63.7
2011-12-31 00:00:00,69.9
2012-01-31 00:00:00,75.0
2012-02-29 00:00:00,75.3
2012-03-31 00:00:00,76.2
2012-04-30 00:00:00,76.4
2012-05-31 00:00:00,79.3
2012-06-30 00:00:00,73.2
2012-07-31 00:00:00,72.3
2012-08-31 00:00:00,74.3
2012-09-30 00:00:00,78.3
2012-10-31 00:00:00,82.6
2012-11-30 00:00:00,82.7
2012-12-31 00:00:00,72.9
2013-01-31 00:00:00,73.8
2013-02-28 00:00:00,77.6
2013-03-31 00:00:00,78.6
2013-04-30 00:00:00,76.4
2013-05-31 00:00:00,84.5
2013-06-30 00:00:00,84.1
2013-07-31 00:00:00,85.1
2013-08-31 00:00:00,82.1
2013-09-30 00:00:00,77.5
2013-10-31 00:00:00,73.2
2013-11-30 00:00:00,75.1
2013-12-31 00:00:00,82.5
2014-01-31 00:00:00,81.2
2014-02-28 00:00:00,81.6
2014-03-31 00:00:00,80.0
2014-04-30 00:00:00,84.1
2014-05-31 00:00:00,81.9
2014-06-30 00:00:00,82.5
2014-07-31 00:00:00,81.8
2014-08-31 00:00:00,82.5
2014-09-30 00:00:00,84.6
2014-10-31 00:00:00,86.9
2014-11-30 00:00:00,88.8
2014-12-31 00:00:00,93.6
2015-01-31 00:00:00,98.1
2015-02-28 00:00:00,95.4
2015-03-31 00:00:00,93.0
2015-04-30 00:00:00,95.9
2015-05-31 00:00:00,90.7
2015-06-30 00:00:00,96.1
2015-07-31 00:00:00,93.1
2015-08-31 00:00:00,91.9
2015-09-30 00:00:00,87.2
2015-10-31 00:00:00,90.0
2015-11-30 00:00:00,91.3
2015-12-31 00:00:00,92.6
2016-01-31 00:00:00,92.0
2016-02-29 00:00:00,91.7
2016-03-31 00:00:00,91.0
2016-04-30 00:00:00,89.0
2016-05-31 00:00:00,94.7
2016-06-30 00:00:00,93.5
2016-07-31 00:00:00,90.0
2016-08-31 00:00:00,89.8
2016-09-30 00:00:00,91.2
2016-10-31 00:00:00,87.2
2016-11-30 00:00:00,93.8
2016-12-31 00:00:00,98.2
2017-01-31 00:00:00,98.5
2017-02-28 00:00:00,96.3
2017-03-31 00:00:00,96.9
2017-04-30 00:00:00,97.0
2017-05-31 00:00:00,97.1
2017-06-30 00:00:00,95.0
2017-07-31 00:00:00,93.4
2017-08-31 00:00:00,96.8
2017-09-30 00:00:00,95.1
2017-10-31 00:00:00,100.7
2017-11-30 00:00:00,98.5
2017-12-31 00:00:00,95.9
2018-01-31 00:00:00,95.7
2018-02-28 00:00:00,99.7
2018-03-31 00:00:00,101.4
2018-04-30 00:00:00,98.8
2018-05-31 00:00:00,98.0
2018-06-30 00:00:00,98.2
2018-07-31 00:00:00,97.9
2018-08-31 00:00:00,96.2
2018-09-30 00:00:00,100.1
2018-10-31 00:00:00,98.6
2018-11-30 00:00:00,97.5
2018-12-31 00:00:00,98.3
2019-01-31 00:00:00,91.2
2019-02-28 00:00:00,93.8
2019-03-31 00:00:00,98.4
2019-04-30 00:00:00,97.2
2019-05-31 00:00:00,100.0
2019-06-30 00:00:00,98.2
2019-07-31 00:00:00,98.4
2019-08-31 00:00:00,89.8
2019-09-30 00:00:00,93.2
2019-10-31 00:00:00,95.5
2019-11-30 00:00:00,96.8
2019-12-31 00:00:00,99.3
2020-01-31 00:00:00,99.8
2020-02-29 00:00:00,101.0
2020-03-31 00:00:00,89.1
2020-04-30 00:00:00,71.8
2020-05-31 00:00:00,72.3
2020-06-30 00:00:00,78.1
2020-07-31 00:00:00,72.5
2020-08-31 00:00:00,74.1
2020-09-30 00:00:00,80.4
2020-10-31 00:00:00,81.8
2020-11-30 00:00:00,76.9
2020-12-31 00:00:00,80.7
2021-01-31 00:00:00,79.0
2021-02-28 00:00:00,76.8
2021-03-31 00:00:00,84.9
2021-04-30 00:00:00,88.3
2021-05-31 00:00:00,82.9
2021-06-30 00:00:00,85.5
2021-07-31 00:00:00,81.2
2021-08-31 00:00:00,70.3
2021-09-30 00:00:00,72.8
2021-10-31 00:00:00,71.7
2021-11-30 00:00:00,67.4
2021-12-31 00:00:00,70.6
2022-01-31 00:00:00,67.2
2022-02-28 00:00:00,62.8
2022-03-31 00:00:00,59.4
2022-04-30 00:00:00,65.2
2022-05-31 00:00:00,58.4
2022-06-30 00:00:00,50.0
2022-07-31 00:00:00,51.5
2022-08-31 00:00:00,58.2
2022-09-30 00:00:00,58.6
2022-10-31 00:00:00,59.9
2022-11-30 00:00:00,56.7
2022-12-31 00:00:00,59.8
2023-01-31 00:00:00,64.9
2023-02-28 00:00:00,66.9
2023-03-31 00:00:00,62.0
2023-04-30 00:00:00,63.7
2023-05-31 00:00:00,59.0
2023-06-30 00:00:00,64.2
2023-07-31 00:00:00,71.5
2023-08-31 00:00:00,69.4
2023-09-30 00:00:00,67.8
2023-10-31 00:00:00,63.8
2023-11-30 00:00:00,61.3
2023-12-31 00:00:00,69.7
2024-01-31 00:00:00,79.0
2024-02-29 00:00:00,76.9
2024-03-31 00:00:00,79.4
2024-04-30 00:00:00,77.2
2024-05-31 00:00:00,69.1
2024-06-30 00:00:00,68.2
2024-07-31 00:00:00,66.4
2024-08-31 00:00:00,67.9
2024-09-30 00:00:00,70.1
2024-10-31 00:00:00,70.5
2024-11-30 00:00:00,71.8
2024-12-31 00:00:00,74.0
2025-01-31 00:00:00,71.7
2025-02-28 00:00:00,64.7
2025-03-31 00:00:00,57.0
2025-04-30 00:00:00,52.2
2025-05-31 00:00:00,52.2
2025-06-30 00:00:00,60.7
2025-07-31 00:00:00,61.7
2025-08-31 00:00:00,58.2
2025-09-30 00:00:00,55.1
2025-10-31 00:00:00,53.6
2025-11-30 00:00:00,51.0
2025-12-31 00:00:00,52.9
2026-01-31 00:00:00,56.4
2026-02-28 00:00:00,56.6
2026-03-31 00:00:00,53.3
2026-04-30 00:00:00,47.6
