subset,n_features,threshold,signals,return_pa,volatility_pa,max_drawdown,var95
market_only,9,0.45,11,0.04454431221789368,0.06649856256297501,-0.2006065222779344,-0.005884421426363243
no_macro,9,0.45,11,0.04454431221789368,0.06649856256297501,-0.2006065222779344,-0.005884421426363243
market_only,9,0.4,14,0.043161563482651655,0.06425656247306287,-0.20060652227793585,-0.005579406379026652
no_macro,9,0.4,14,0.043161563482651655,0.06425656247306287,-0.20060652227793585,-0.005579406379026652
no_rates,12,0.35,15,0.03726272951765175,0.05640146991393696,-0.20060652227793585,-0.005221410296313384
market_only,9,0.3,16,0.040043635272620115,0.0635309978793989,-0.20060652227793607,-0.005529420575811839
market_only,9,0.35,16,0.040043635272620115,0.0635309978793989,-0.20060652227793607,-0.005529420575811839
no_macro,9,0.3,16,0.040043635272620115,0.0635309978793989,-0.20060652227793607,-0.005529420575811839
no_macro,9,0.35,16,0.040043635272620115,0.0635309978793989,-0.20060652227793607,-0.005529420575811839
market_only,9,0.25,17,0.036976191717323026,0.055864114565826,-0.20060652227793618,-0.0051160141006978774
no_macro,9,0.25,17,0.036976191717323026,0.055864114565826,-0.20060652227793618,-0.0051160141006978774
no_rates,12,0.25,17,0.036976191717323026,0.055864114565826,-0.20060652227793618,-0.0051160141006978774
no_rates,12,0.3,17,0.036976191717323026,0.055864114565826,-0.20060652227793618,-0.0051160141006978774
no_credit,12,0.45,10,0.037844148852017145,0.07145367408393459,-0.21218611761309392,-0.00574132172922683
no_credit,12,0.4,11,0.03617324443754355,0.07117933627284909,-0.21218611761309392,-0.00574132172922683
full,13,0.35,14,0.03282093646063022,0.0643125337813604,-0.21218611761309392,-0.00551635449172643
no_credit,12,0.35,14,0.03282093646063022,0.0643125337813604,-0.21218611761309392,-0.00551635449172643
no_corr,12,0.35,14,0.03282093646063022,0.0643125337813604,-0.21218611761309392,-0.00551635449172643
no_def_rel,11,0.35,14,0.03282093646063022,0.0643125337813604,-0.21218611761309392,-0.00551635449172643
full,13,0.25,16,0.03253562567981705,0.06384172824845932,-0.21218611761309392,-0.005450266043505909
no_corr,12,0.25,16,0.03253562567981705,0.06384172824845932,-0.21218611761309392,-0.005450266043505909
no_def_rel,11,0.25,16,0.03253562567981705,0.06384172824845932,-0.21218611761309392,-0.005450266043505909
full,13,0.3,15,0.0324663928652289,0.0641343807205243,-0.21218611761309392,-0.00546365813811246
no_corr,12,0.3,15,0.0324663928652289,0.0641343807205243,-0.21218611761309392,-0.00546365813811246
no_def_rel,11,0.3,15,0.0324663928652289,0.0641343807205243,-0.21218611761309392,-0.00546365813811246
no_bitcoin,11,0.35,16,0.0282266158747424,0.06665757012880226,-0.2122676517135068,-0.005365632288249569
vix_yield_only,3,0.4,12,0.03094180836855065,0.07022183929692104,-0.21226765171350748,-0.005720709624379149
full,13,0.2,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
macro_only,4,0.2,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
macro_only,4,0.25,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
vix_yield_only,3,0.2,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
vix_yield_only,3,0.25,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
vix_yield_only,3,0.3,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
vix_yield_credit,4,0.2,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
vix_yield_credit,4,0.25,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
stress_only,7,0.2,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
stress_only,7,0.25,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
no_bitcoin,11,0.2,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
no_bitcoin,11,0.25,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
no_credit,12,0.2,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
no_corr,12,0.2,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
no_def_rel,11,0.2,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
no_credit,12,0.25,17,0.027772914029159823,0.06314443746332078,-0.2122676517135076,-0.005397561175821542
no_credit,12,0.3,17,0.027772914029159823,0.06314443746332078,-0.2122676517135076,-0.005397561175821542
full,13,0.15,19,0.03254531176517883,0.05133625377975813,-0.2122676517135078,-0.004869725593604425
macro_only,4,0.15,19,0.03254531176517883,0.05133625377975813,-0.2122676517135078,-0.004869725593604425
market_only,9,0.15,19,0.03254531176517883,0.05133625377975813,-0.2122676517135078,-0.004869725593604425
market_only,9,0.2,19,0.03254531176517883,0.05133625377975813,-0.2122676517135078,-0.004869725593604425
vix_yield_only,3,0.15,19,0.03254531176517883,0.05133625377975813,-0.2122676517135078,-0.004869725593604425
vix_yield_credit,4,0.15,19,0.03254531176517883,0.05133625377975813,-0.2122676517135078,-0.004869725593604425
stress_only,7,0.15,19,0.03254531176517883,0.05133625377975813,-0.2122676517135078,-0.004869725593604425
no_bitcoin,11,0.15,19,0.03254531176517883,0.05133625377975813,-0.2122676517135078,-0.004869725593604425
no_macro,9,0.15,19,0.03254531176517883,0.05133625377975813,-0.2122676517135078,-0.004869725593604425
no_macro,9,0.2,19,0.03254531176517883,0.05133625377975813,-0.2122676517135078,-0.004869725593604425
no_rates,12,0.15,19,0.03254531176517883,0.05133625377975813,-0.2122676517135078,-0.004869725593604425
no_rates,12,0.2,19,0.03254531176517883,0.05133625377975813,-0.2122676517135078,-0.004869725593604425
no_credit,12,0.15,19,0.03254531176517883,0.05133625377975813,-0.2122676517135078,-0.004869725593604425
no_corr,12,0.15,19,0.03254531176517883,0.05133625377975813,-0.2122676517135078,-0.004869725593604425
no_def_rel,11,0.15,19,0.03254531176517883,0.05133625377975813,-0.2122676517135078,-0.004869725593604425
macro_only,4,0.3,17,0.028054782764679986,0.06023032901489624,-0.21226765171350814,-0.005151294498498858
vix_yield_only,3,0.35,17,0.028054782764679986,0.06023032901489624,-0.21226765171350814,-0.005151294498498858
vix_yield_credit,4,0.3,17,0.028054782764679986,0.06023032901489624,-0.21226765171350814,-0.005151294498498858
stress_only,7,0.3,17,0.028054782764679986,0.06023032901489624,-0.21226765171350814,-0.005151294498498858
stress_only,7,0.35,17,0.028054782764679986,0.06023032901489624,-0.21226765171350814,-0.005151294498498858
no_bitcoin,11,0.3,17,0.028054782764679986,0.06023032901489624,-0.21226765171350814,-0.005151294498498858
no_rates,12,0.5,6,0.04119006684275828,0.07566063041479033,-0.22023768846023517,-0.006351185486991127
no_credit,12,0.5,6,0.03901846421602362,0.07569695104074634,-0.22023768846023517,-0.00632714054651918
full,13,0.45,9,0.03721129236588161,0.0749052394504701,-0.22023768846023573,-0.006234178014630442
no_corr,12,0.45,9,0.03721129236588161,0.0749052394504701,-0.22023768846023573,-0.006234178014630442
no_def_rel,11,0.45,9,0.03721129236588161,0.0749052394504701,-0.22023768846023573,-0.006234178014630442
no_rates,12,0.4,12,0.037237217127384925,0.06742900226917219,-0.22023768846023584,-0.005885950392561997
full,13,0.5,5,0.04161598008023715,0.07595654244001292,-0.22023768846023606,-0.006356037213902203
no_corr,12,0.5,5,0.04161598008023715,0.07595654244001292,-0.22023768846023606,-0.006356037213902203
no_def_rel,11,0.5,5,0.04161598008023715,0.07595654244001292,-0.22023768846023606,-0.006356037213902203
no_rates,12,0.45,10,0.041021366446499785,0.06841545228934713,-0.22023768846023606,-0.005963025425815085
no_def_rel,11,0.4,11,0.034540068307413074,0.07321714039042275,-0.2202376884602364,-0.00594458363115062
no_bitcoin,11,0.5,4,0.04026352309393122,0.07653724379557206,-0.22023768846023684,-0.006487546341278428
macro_only,4,0.5,3,0.03975674264975937,0.07724330601394619,-0.22023768846023684,-0.006773890740807274
vix_yield_credit,4,0.5,3,0.03975674264975937,0.07724330601394619,-0.22023768846023684,-0.006773890740807274
stress_only,7,0.5,3,0.03975674264975937,0.07724330601394619,-0.22023768846023684,-0.006773890740807274
full,13,0.4,11,0.03279553332017482,0.07417321904283923,-0.22023768846023695,-0.006234178014630442
no_corr,12,0.4,11,0.03279553332017482,0.07417321904283923,-0.22023768846023695,-0.006234178014630442
no_bitcoin,11,0.4,11,0.02907058050746847,0.07376953292760213,-0.2318044627798469,-0.006110786308778967
macro_only,4,0.35,15,0.027015052274032447,0.06915426428062772,-0.23180446277984768,-0.005576337939917633
vix_yield_credit,4,0.35,15,0.027015052274032447,0.06915426428062772,-0.23180446277984768,-0.005576337939917633
vix_yield_only,3,0.5,4,0.034940195573616384,0.07666995422104766,-0.2318044627798479,-0.006704977603463161
macro_only,4,0.4,12,0.028075499081090083,0.0723255076783742,-0.231804462779848,-0.0058903536393721985
vix_yield_credit,4,0.4,12,0.028075499081090083,0.0723255076783742,-0.231804462779848,-0.0058903536393721985
stress_only,7,0.4,12,0.028075499081090083,0.0723255076783742,-0.231804462779848,-0.0058903536393721985
macro_only,4,0.45,8,0.0320973999798031,0.0745358299467725,-0.23180446277984812,-0.006243685429360266
vix_yield_credit,4,0.45,8,0.0320973999798031,0.0745358299467725,-0.23180446277984812,-0.006243685429360266
stress_only,7,0.45,8,0.0320973999798031,0.0745358299467725,-0.23180446277984812,-0.006243685429360266
no_bitcoin,11,0.45,8,0.0320973999798031,0.0745358299467725,-0.23180446277984812,-0.006243685429360266
vix_yield_only,3,0.45,6,0.03444338347283704,0.07455741694294807,-0.23180446277984845,-0.006057619303025343
market_only,9,0.5,7,0.04296654796617427,0.07934656637894111,-0.26347768720815656,-0.006478307002901212
no_macro,9,0.5,7,0.04296654796617427,0.07934656637894111,-0.26347768720815656,-0.006478307002901212
